Categoría,Modelo,RMSE,MAE,MAPE (%)
bed_bath_table,GP Puro,40.16,34.55,25.96
bed_bath_table,Media Móvil,42.41,36.52,27.83
bed_bath_table,Holt-Winters,46.99,32.5,29.19
bed_bath_table,Híbrido (GP+LGBM),51.27,37.63,25.1
bed_bath_table,LightGBM Puro,58.73,48.26,29.01
computers_accessories,LightGBM Puro,28.56,24.37,28.76
computers_accessories,Media Móvil,31.64,25.42,29.29
computers_accessories,Híbrido (GP+LGBM),40.91,35.66,33.32
computers_accessories,GP Puro,41.25,36.26,33.89
computers_accessories,Holt-Winters,54.4,48.24,44.08
furniture_decor,GP Puro,36.42,29.51,41.65
furniture_decor,Híbrido (GP+LGBM),37.64,33.42,43.06
furniture_decor,Media Móvil,41.4,36.7,46.67
furniture_decor,LightGBM Puro,46.31,40.32,47.07
furniture_decor,Holt-Winters,54.93,45.65,64.62
health_beauty,Media Móvil,46.12,40.3,20.17
health_beauty,Híbrido (GP+LGBM),60.38,49.29,22.61
health_beauty,GP Puro,62.4,52.41,23.95
health_beauty,Holt-Winters,87.73,80.3,38.09
health_beauty,LightGBM Puro,91.61,83.63,40.42
housewares,Holt-Winters,35.28,29.74,25.12
housewares,GP Puro,41.91,32.98,24.09
housewares,Media Móvil,42.03,33.08,26.57
housewares,LightGBM Puro,58.71,48.09,32.33
housewares,Híbrido (GP+LGBM),62.56,57.15,45.09
sports_leisure,LightGBM Puro,29.77,25.07,23.17
sports_leisure,Media Móvil,30.1,24.83,26.42
sports_leisure,Holt-Winters,35.54,30.5,26.69
sports_leisure,GP Puro,46.79,40.96,34.9
sports_leisure,Híbrido (GP+LGBM),54.73,46.98,39.2
